time,.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
1970/01/01/05:35:56.835000,-0.312,0.0,0.0,0.0,0.0,6.696300000000001
1970/01/01/05:35:56.935000,-0.31,0.0,0.0,0.0,0.0,7.173300000000001
1970/01/01/05:35:57.034000,-0.309,0.0,0.0,0.0,0.0,7.6358000000000015
1970/01/01/05:35:57.135000,-0.308,0.0,0.0,0.0,0.0,8.0881
1970/01/01/05:35:57.235000,-0.307,0.0,0.0,0.0,0.0,8.5267
1970/01/01/05:35:57.335000,-0.305,0.0,0.0,0.0,0.0,8.9537
1970/01/01/05:35:57.433000,-0.304,0.0,0.0,0.0,0.0,9.3699
1970/01/01/05:35:57.533000,-0.303,0.0,0.0,0.0,0.0,9.7732
1970/01/01/05:35:57.635000,-0.301,0.0,0.0,0.0,0.0,10.1649
1970/01/01/05:35:57.734000,-0.3,0.0,0.0,0.0,0.0,10.5445
1970/01/01/05:35:57.835000,-0.298,0.0,0.0,0.0,0.0,10.9141
1970/01/01/05:35:57.935000,-0.297,0.0,0.0,0.0,0.0,11.272499999999999
1970/01/01/05:35:58.035000,-0.295,0.0,0.0,0.0,0.0,11.618799999999998
1970/01/01/05:35:58.135000,-0.293,0.0,0.0,0.0,0.0,11.9538
1970/01/01/05:35:58.235000,-0.292,0.0,0.0,0.0,0.0,12.279599999999999
1970/01/01/05:35:58.335000,-0.29,0.0,0.0,0.0,0.0,12.592999999999998
1970/01/01/05:35:58.435000,-0.289,0.0,0.0,0.0,0.0,12.897199999999998
1970/01/01/05:35:58.534000,-0.287,0.0,0.0,0.0,0.0,13.189799999999998
1970/01/01/05:35:58.635000,-0.285,0.0,0.0,0.0,0.0,13.471999999999998
1970/01/01/05:35:58.735000,-0.284,0.0,0.0,0.0,0.0,13.744699999999998
1970/01/01/05:35:58.835000,-0.282,0.0,0.0,0.0,0.0,14.006999999999998
1970/01/01/05:35:58.933000,-0.28,0.0,0.0,0.0,0.0,14.259799999999998
1970/01/01/05:35:59.033000,-0.278,0.0,0.0,0.0,0.0,14.501999999999999
1970/01/01/05:35:59.135000,-0.276,0.0,0.0,0.0,0.0,14.734599999999999
1970/01/01/05:35:59.234000,-0.275,0.0,0.0,0.0,0.0,14.956599999999998
1970/01/01/05:35:59.335000,-0.273,0.0,0.0,0.0,0.0,15.167199999999998
1970/01/01/05:35:59.435000,-0.271,0.0,0.0,0.0,0.0,15.365499999999997
1970/01/01/05:35:59.535000,-0.269,0.0,0.0,0.0,0.0,15.553199999999997
1970/01/01/05:35:59.635000,-0.267,0.0,0.0,0.0,0.0,15.729599999999996
1970/01/01/05:35:59.735000,-0.265,0.0,0.0,0.0,0.0,15.895399999999997
1970/01/01/05:35:59.835000,-0.263,0.0,0.0,0.0,0.0,16.049699999999998
1970/01/01/05:35:59.935000,-0.261,0.0,0.0,0.0,0.0,16.194399999999998
1970/01/01/05:36:00.035000,-0.26,0.0,0.0,0.0,0.0,16.332199999999997
