time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.angular_vel,.linear_vel,.kp_dist,.kd_dist,.kp_angle,.kd_angle,.y_offset,.fork_angle,.dist_2_pallet
1970/01/01/05:30:39.194000,1,0,0,,0.7824,0.282,0.09,0.1,-1.377,0.02,1.377,0.809,3.163
1970/01/01/05:30:39.295000,2,0,0,,0.7588,0.28,0.09,0.1,-1.374,0.02,1.374,0.822,3.14
1970/01/01/05:30:39.395000,3,0,0,,0.7255,0.277,0.09,0.1,-1.368,0.02,1.368,0.838,3.112
1970/01/01/05:30:39.494000,4,0,0,,0.7001,0.275,0.09,0.1,-1.364,0.02,1.364,0.851,3.087
1970/01/01/05:30:39.593000,5,0,0,,0.6722,0.273,0.09,0.1,-1.36,0.02,1.36,0.866,3.061
1970/01/01/05:30:39.696000,6,0,0,,0.6427,0.27,0.09,0.1,-1.355,0.02,1.355,0.881,3.034
1970/01/01/05:30:39.795000,7,0,0,,0.6195,0.268,0.09,0.1,-1.352,0.02,1.352,0.894,3.009
1970/01/01/05:30:39.895000,8,0,0,,0.5873,0.265,0.09,0.1,-1.346,0.02,1.346,0.91,2.98
1970/01/01/05:30:39.995000,9,0,0,,0.5552,0.262,0.09,0.1,-1.34,0.02,1.34,0.926,2.949
1970/01/01/05:30:40.095000,10,0,0,,0.5234,0.26,0.09,0.1,-1.334,0.02,1.334,0.942,2.918
1970/01/01/05:30:40.195000,11,0,0,,0.4961,0.257,0.09,0.1,-1.329,0.02,1.329,0.956,2.888
1970/01/01/05:30:40.295000,12,0,0,,0.4619,0.253,0.09,0.1,-1.322,0.02,1.322,0.973,2.854
1970/01/01/05:30:40.395000,13,0,0,,0.4236,0.25,0.09,0.1,-1.314,0.02,1.314,0.992,2.817
1970/01/01/05:30:40.495000,14,0,0,,0.39,0.247,0.09,0.1,-1.307,0.02,1.307,1.009,2.781
1970/01/01/05:30:40.595000,15,0,0,,0.3567,0.243,0.09,0.1,-1.3,0.02,1.3,1.026,2.744
1970/01/01/05:30:40.695000,16,0,0,,0.3197,0.239,0.09,0.1,-1.292,0.02,1.292,1.045,2.704
1970/01/01/05:30:40.795000,17,0,0,,0.287,0.236,0.09,0.1,-1.285,0.02,1.285,1.062,2.665
1970/01/01/05:30:40.895000,18,0,0,,0.2508,0.232,0.09,0.1,-1.277,0.02,1.277,1.081,2.624
1970/01/01/05:30:40.995000,19,0,0,,0.2202,0.229,0.09,0.1,-1.27,0.02,1.27,1.097,2.587
1970/01/01/05:30:41.095000,20,0,0,,0.167,0.22,0.09,0.1,-1.259,0.02,1.259,1.127,2.521
1970/01/01/05:30:41.195000,21,0,0,,0.1394,0.22,0.09,0.1,-1.252,0.02,1.252,1.141,2.485
1970/01/01/05:30:41.296000,22,0,0,,0.1088,0.216,0.09,0.1,-1.245,0.02,1.245,1.158,2.444
1970/01/01/05:30:41.394000,23,0,0,,0.076,0.211,0.09,0.1,-1.237,0.02,1.237,1.176,2.399
1970/01/01/05:30:41.495000,24,0,0,,0.0484,0.208,0.09,0.1,-1.23,0.02,1.23,1.191,2.36
1970/01/01/05:30:41.595000,25,0,0,,0.0164,0.204,0.09,0.1,-1.222,0.02,1.222,1.209,2.316
1970/01/01/05:30:41.696000,26,0,0,,0.0117,0.2,0.09,0.1,-1.215,0.02,1.215,1.225,2.274
1970/01/01/05:30:41.795000,27,0,0,,0.0394,0.196,0.09,0.1,-1.208,0.02,1.208,1.241,2.231
1970/01/01/05:30:41.896000,28,0,0,,0.0656,0.193,0.09,0.1,-1.201,0.02,1.201,1.256,2.192
1970/01/01/05:30:41.995000,29,0,0,,0.0903,0.19,0.09,0.1,-1.194,0.02,1.194,1.27,2.154
1970/01/01/05:30:42.096000,30,0,0,,0.1136,0.187,0.09,0.1,-1.188,0.02,1.188,1.284,2.116
1970/01/01/05:30:42.195000,31,0,0,,0.1378,0.183,0.09,0.1,-1.181,0.02,1.181,1.298,2.077
1970/01/01/05:30:42.294000,32,0,0,,0.1594,0.18,0.09,0.1,-1.175,0.02,1.175,1.311,2.04
1970/01/01/05:30:42.396000,33,0,0,,0.183,0.176,0.09,0.1,-1.168,0.02,1.168,1.325,1.999
1970/01/01/05:30:42.496000,34,0,0,,0.2074,0.172,0.09,0.1,-1.161,0.02,1.161,1.34,1.958
1970/01/01/05:30:42.596000,35,0,0,,0.2283,0.169,0.09,0.1,-1.155,0.02,1.155,1.353,1.92
1970/01/01/05:30:42.695000,36,0,0,,0.2478,0.166,0.09,0.1,-1.149,0.02,1.149,1.365,1.886
1970/01/01/05:30:42.795000,37,0,0,,0.2671,0.163,0.09,0.1,-1.143,0.02,1.143,1.377,1.85
1970/01/01/05:30:42.895000,38,0,0,,0.2873,0.159,0.09,0.1,-1.137,0.02,1.137,1.39,1.811
1970/01/01/05:30:42.995000,39,0,0,,0.3061,0.156,0.09,0.1,-1.131,0.02,1.131,1.402,1.776
1970/01/01/05:30:43.096000,40,0,0,,0.3237,0.153,0.09,0.1,-1.125,0.02,1.125,1.413,1.742
1970/01/01/05:30:43.196000,41,0,0,,0.341,0.15,0.09,0.1,-1.119,0.02,1.119,1.424,1.707
1970/01/01/05:30:43.294000,42,0,0,,0.3584,0.147,0.09,0.1,-1.114,0.02,1.114,1.436,1.672
1970/01/01/05:30:43.395000,43,0,0,,0.3753,0.144,0.09,0.1,-1.108,0.02,1.108,1.447,1.64
1970/01/01/05:30:43.496000,44,0,0,,0.3891,0.142,0.09,0.1,-1.103,0.02,1.103,1.456,1.609
1970/01/01/05:30:43.596000,45,0,0,,0.4048,0.139,0.09,0.1,-1.098,0.02,1.098,1.467,1.576
1970/01/01/05:30:43.695000,46,0,0,,0.4205,0.136,0.09,0.1,-1.093,0.02,1.093,1.478,1.543
1970/01/01/05:30:43.795000,47,0,0,,0.4338,0.133,0.09,0.1,-1.088,0.02,1.088,1.487,1.513
1970/01/01/05:30:43.895000,48,0,0,,0.4481,0.13,0.09,0.1,-1.083,0.02,1.083,1.497,1.482
1970/01/01/05:30:43.996000,49,0,0,,0.4622,0.127,0.09,0.1,-1.078,0.02,1.078,1.507,1.451
1970/01/01/05:30:44.096000,50,0,0,,0.4751,0.125,0.09,0.1,-1.073,0.02,1.073,1.516,1.422
